INSERT INTO `questions`(`question`, `questionid`, `option1`, `option2`, `option3`, `option4`, `answer`, `difficulty`) VALUES 
('What is the largest planet in our solar system?', 'q23', 'Saturn', 'Jupiter', 'Uranus', 'Neptune', 1, 'easy'),
('What is the main language spoken in Brazil?', 'q24', 'Spanish', 'Portuguese', 'English', 'French', 1, 'easy'),
('Who is known as the "Father of Computers"?', 'q25', 'Alan Turing', 'Charles Babbage', 'Bill Gates', 'Steve Jobs', 1, 'medium'),
('What is the boiling point of water in Celsius?', 'q26', '90°C', '100°C', '110°C', '120°C', 1, 'easy'),
('Who wrote "1984"?', 'q27', 'George Orwell', 'Aldous Huxley', 'Ray Bradbury', 'Jules Verne', 0, 'medium'),
('Which gas do plants absorb from the atmosphere?', 'q28', 'Oxygen', 'Nitrogen', 'Carbon Dioxide', 'Helium', 2, 'easy'),
('What is the smallest country in the world?', 'q29', 'Monaco', 'San Marino', 'Vatican City', 'Liechtenstein', 2, 'easy'),
('Which planet is known as the "Morning Star"?', 'q30', 'Mars', 'Venus', 'Jupiter', 'Saturn', 1, 'medium'),
('Who discovered penicillin?', 'q31', 'Marie Curie', 'Albert Einstein', 'Alexander Fleming', 'Isaac Newton', 2, 'medium'),
('What is the currency of Japan?', 'q32', 'Yuan', 'Won', 'Yen', 'Dollar', 2, 'easy'),
('Who is the Greek god of the sea?', 'q33', 'Zeus', 'Hades', 'Poseidon', 'Apollo', 2, 'easy'),
('What is the largest desert in the world?', 'q34', 'Sahara Desert', 'Gobi Desert', 'Arabian Desert', 'Antarctic Desert', 3, 'hard'),
('Which country is famous for its pyramids?', 'q35', 'Mexico', 'India', 'Greece', 'Egypt', 3, 'easy'),
('Who wrote the play "Romeo and Juliet"?', 'q36', 'Christopher Marlowe', 'William Shakespeare', 'George Bernard Shaw', 'Oscar Wilde', 1, 'easy'),
('What is the chemical symbol for gold?', 'q37', 'Au', 'Ag', 'Pb', 'Fe', 0, 'medium'),
('Which is the longest bone in the human body?', 'q38', 'Humerus', 'Femur', 'Tibia', 'Fibula', 1, 'medium'),
('What is the main ingredient in traditional Japanese miso soup?', 'q39', 'Soybeans', 'Rice', 'Seaweed', 'Fish', 0, 'medium'),
('Who developed the polio vaccine?', 'q40', 'Louis Pasteur', 'Alexander Fleming', 'Jonas Salk', 'Edward Jenner', 2, 'medium'),
('What is the capital city of Australia?', 'q41', 'Sydney', 'Melbourne', 'Canberra', 'Perth', 2, 'easy'),
('Which ocean is the smallest?', 'q42', 'Atlantic Ocean', 'Indian Ocean', 'Arctic Ocean', 'Southern Ocean', 2, 'medium'),
('What is the hardest rock?', 'q43', 'Granite', 'Basalt', 'Marble', 'Diamond', 3, 'medium'),
('Who painted "Starry Night"?', 'q44', 'Claude Monet', 'Vincent van Gogh', 'Pablo Picasso', 'Salvador Dali', 1, 'easy'),
('Which is the closest star to Earth?', 'q45', 'Alpha Centauri', 'Proxima Centauri', 'Sirius', 'Sun', 3, 'easy'),
('What is the freezing point of water in Fahrenheit?', 'q46', '32°F', '0°F', '100°F', '212°F', 0, 'easy'),
('Who wrote "Pride and Prejudice"?', 'q47', 'Charlotte Bronte', 'Jane Austen', 'Emily Bronte', 'Mary Shelley', 1, 'easy'),
('What is the most abundant gas in the Earth\'s atmosphere?', 'q48', 'Oxygen', 'Hydrogen', 'Nitrogen', 'Carbon Dioxide', 2, 'medium'),
('Which organ is responsible for producing insulin?', 'q49', 'Liver', 'Pancreas', 'Kidneys', 'Stomach', 1, 'medium'),
('What is the capital of Canada?', 'q50', 'Toronto', 'Vancouver', 'Ottawa', 'Montreal', 2, 'easy'),
('Who discovered gravity?', 'q51', 'Albert Einstein', 'Galileo Galilei', 'Nikola Tesla', 'Isaac Newton', 3, 'easy'),
('Which planet is known for its rings?', 'q52', 'Earth', 'Mars', 'Jupiter', 'Saturn', 3, 'easy'),
('Who invented the telephone?', 'q53', 'Thomas Edison', 'Alexander Graham Bell', 'Nikola Tesla', 'Guglielmo Marconi', 1, 'medium'),
('What is the capital city of Italy?', 'q54', 'Venice', 'Florence', 'Rome', 'Milan', 2, 'easy'),
('Which is the fastest land animal?', 'q55', 'Lion', 'Cheetah', 'Tiger', 'Leopard', 1, 'easy'),
('What is the main ingredient in hummus?', 'q56', 'Lentils', 'Chickpeas', 'Beans', 'Peas', 1, 'easy'),
('Who was the first man to walk on the moon?', 'q57', 'Buzz Aldrin', 'Yuri Gagarin', 'Neil Armstrong', 'Michael Collins', 2, 'easy'),
('What is the largest mammal?', 'q58', 'Elephant', 'Blue Whale', 'Giraffe', 'Hippopotamus', 1, 'easy'),
('Which language is the most spoken worldwide?', 'q59', 'Spanish', 'English', 'Mandarin Chinese', 'Hindi', 2, 'medium'),
('Who wrote "Moby Dick"?', 'q60', 'Herman Melville', 'Mark Twain', 'Ernest Hemingway', 'F. Scott Fitzgerald', 0, 'medium'),
('Who developed the first successful polio vaccine in 1955?', 'q61', 'Albert Sabin', 'Jonas Salk', 'Louis Pasteur', 'Alexander Fleming', 1, 'hard'),
('Which physicist is known for the theory of general relativity?', 'q62', 'Isaac Newton', 'Niels Bohr', 'Albert Einstein', 'Max Planck', 2, 'hard'),
('What is the rarest naturally occurring element on Earth?', 'q63', 'Francium', 'Astatine', 'Technetium', 'Promethium', 1, 'hard'),
('Who is considered the father of modern genetics?', 'q64', 'Charles Darwin', 'Gregor Mendel', 'James Watson', 'Francis Crick', 1, 'hard'),
('What is the most abundant mineral in the human body?', 'q65', 'Calcium', 'Potassium', 'Sodium', 'Magnesium', 0, 'hard'),
('Which planet has the most moons?', 'q66', 'Jupiter', 'Saturn', 'Uranus', 'Neptune', 0, 'hard'),
('What is the chemical formula for table salt?', 'q67', 'KCl', 'NaCl', 'CaCl2', 'MgCl2', 1, 'hard'),
('Who wrote the novel "War and Peace"?', 'q68', 'Fyodor Dostoevsky', 'Leo Tolstoy', 'Anton Chekhov', 'Alexander Pushkin', 1, 'hard'),
('Which gas is used in the majority of neon signs?', 'q69', 'Argon', 'Krypton', 'Neon', 'Xenon', 2, 'hard'),
('What is the oldest written language still in use today?', 'q70', 'Hebrew', 'Sanskrit', 'Chinese', 'Greek', 2, 'hard');
