INSERT INTO `questions`(`question`, `questionid`, `option1`, `option2`, `option3`, `option4`, `answer`) VALUES 
('Who was the first man to walk on the moon?', 'q56', 'Buzz Aldrin', 'Yuri Gagarin', 'Neil Armstrong', 'Michael Collins', 2),
('What is the chemical symbol for iron?', 'q57', 'Ir', 'Fe', 'I', 'In', 1),
('Who wrote "The Great Gatsby"?', 'q58', 'Ernest Hemingway', 'F. Scott Fitzgerald', 'Mark Twain', 'John Steinbeck', 1),
('What is the largest mammal?', 'q59', 'Elephant', 'Blue Whale', 'Giraffe', 'Hippopotamus', 1),
('What is the primary ingredient in hummus?', 'q60', 'Lentils', 'Chickpeas', 'Beans', 'Peas', 1),
('Which continent is the Sahara Desert located on?', 'q61', 'Asia', 'Australia', 'Africa', 'South America', 2),
('Who painted the ceiling of the Sistine Chapel?', 'q62', 'Leonardo da Vinci', 'Michelangelo', 'Raphael', 'Donatello', 1),
('What is the capital of Russia?', 'q63', 'Saint Petersburg', 'Moscow', 'Novosibirsk', 'Yekaterinburg', 1),
('What is the chemical formula for table salt?', 'q64', 'NaCl', 'KCl', 'MgCl2', 'CaCl2', 0),
('Who is the author of "Moby-Dick"?', 'q65', 'Herman Melville', 'Mark Twain', 'Nathaniel Hawthorne', 'Edgar Allan Poe', 0),
('What is the smallest unit of life?', 'q66', 'Atom', 'Molecule', 'Cell', 'Organ', 2),
('Who invented the light bulb?', 'q67', 'Nikola Tesla', 'Alexander Graham Bell', 'Thomas Edison', 'Benjamin Franklin', 2),
('What is the currency of India?', 'q68', 'Yen', 'Rupee', 'Peso', 'Dollar', 1),
('Which organ in the human body is primarily responsible for detoxification?', 'q69', 'Heart', 'Liver', 'Kidneys', 'Lungs', 1),
('Who is the author of "The Odyssey"?', 'q70', 'Homer', 'Virgil', 'Sophocles', 'Aristotle', 0),
('Which planet has the most moons?', 'q71', 'Earth', 'Mars', 'Jupiter', 'Saturn', 2),
('What is the chemical symbol for silver?', 'q72', 'Ag', 'Au', 'Si', 'Al', 0),
('Who is the author of "A Brief History of Time"?', 'q73', 'Carl Sagan', 'Stephen Hawking', 'Richard Feynman', 'Neil deGrasse Tyson', 1),
('What is the tallest animal in the world?', 'q74', 'Elephant', 'Giraffe', 'Rhinoceros', 'Hippopotamus', 1),
('Which planet is known as the "Blue Planet"?', 'q75', 'Earth', 'Neptune', 'Uranus', 'Venus', 0),
('Who invented the World Wide Web?', 'q76', 'Bill Gates', 'Steve Jobs', 'Tim Berners-Lee', 'Larry Page', 2),
('What is the currency of the United Kingdom?', 'q77', 'Euro', 'Dollar', 'Pound', 'Yen', 2),
('Which country is known as the Land of Fire and Ice?', 'q78', 'Greenland', 'Norway', 'Iceland', 'New Zealand', 2),
('What is the capital of South Africa?', 'q79', 'Cape Town', 'Durban', 'Johannesburg', 'Pretoria', 3),
('Who wrote "The Catcher in the Rye"?', 'q80', 'J.D. Salinger', 'F. Scott Fitzgerald', 'Ernest Hemingway', 'Mark Twain', 0),
('What is the largest continent by land area?', 'q81', 'Europe', 'Africa', 'Asia', 'North America', 2),
('Which planet is known as the "Evening Star"?', 'q82', 'Mars', 'Venus', 'Jupiter', 'Saturn', 1),
('Who is the author of "The Lord of the Rings" trilogy?', 'q83', 'J.K. Rowling', 'George R.R. Martin', 'J.R.R. Tolkien', 'Philip Pullman', 2),
('What is the chemical symbol for lead?', 'q84', 'Le', 'Pb', 'Ld', 'Pl', 1),
('Which river flows through the Grand Canyon?', 'q85', 'Colorado River', 'Mississippi River', 'Missouri River', 'Rio Grande', 0),
('Who was the first female Prime Minister of the United Kingdom?', 'q86', 'Margaret Thatcher', 'Theresa May', 'Angela Merkel', 'Jacinda Ardern', 0),
('What is the main ingredient in tzatziki?', 'q87', 'Tomato', 'Cucumber', 'Eggplant', 'Yogurt', 3),
('Which scientist formulated the laws of motion?', 'q88', 'Galileo Galilei', 'Isaac Newton', 'Albert Einstein', 'Nikola Tesla', 1),
('What is the smallest bone in the human body?', 'q89', 'Stapes', 'Femur', 'Tibia', 'Patella', 0),
('Who painted "The Persistence of Memory"?', 'q90', 'Pablo Picasso', 'Salvador Dalí', 'Claude Monet', 'Salvador Dali', 1),
('What is the chemical symbol for tin?', 'q91', 'Sn', 'Ti', 'Tn', 'T', 0),
('Which mountain range is the longest in the world?', 'q92', 'Andes', 'Rockies', 'Himalayas', 'Andes', 2),
('Who wrote "The Canterbury Tales"?', 'q93', 'Geoffrey Chaucer', 'William Shakespeare', 'John Milton', 'George Orwell', 0),
('What is the largest bird in the world?', 'q94', 'Ostrich', 'Albatross', 'Condor', 'Eagle', 0),
('Which city hosted the 2016 Summer Olympics?', 'q95', 'Sydney', 'Rio de Janeiro', 'Tokyo', 'London', 1),
('Who is the Greek goddess of wisdom?', 'q96', 'Hera', 'Athena', 'Artemis', 'Aphrodite', 1),
('What is the capital of Argentina?', 'q97', 'Buenos Aires', 'Cordoba', 'Mendoza', 'Rosario', 0),
('Which is the largest bone in the human body?', 'q98', 'Femur', 'Humerus', 'Radius', 'Tibia', 0),
('Who discovered the New World?', 'q99', 'Christopher Columbus', 'Amerigo Vespucci', 'Ferdinand Magellan', 'Vasco da Gama', 0),
('What is the chemical formula for ammonia?', 'q100', 'NH2', 'NH4', 'NH3', 'NO3', 2),
('Which is the largest planet in our solar system by volume?', 'q101', 'Jupiter', 'Saturn', 'Uranus', 'Neptune', 0),
('Who wrote "War and Peace"?', 'q102', 'Leo Tolstoy', 'Fyodor Dostoevsky', 'Anton Chekhov', 'Nikolai Gogol', 0),
('What is the capital of Turkey?', 'q103', 'Istanbul', 'Ankara', 'Izmir', 'Antalya', 1),
('What is the chemical symbol for potassium?', 'q104', 'K', 'Po', 'Pt', 'P', 0),
('Which is the largest moon of Jupiter?', 'q105', 'Ganymede', 'Titan', 'Io', 'Europa', 0),
('Who discovered the structure of DNA?', 'q106', 'Francis Crick and James Watson', 'Rosalind Franklin', 'Gregor Mendel', 'Linus Pauling', 0),
('What is the currency of Brazil?', 'q107', 'Peso', 'Dollar', 'Real', 'Euro', 2),
('Which ocean is known as the "Herring Pond"?', 'q108', 'Atlantic Ocean', 'Indian Ocean', 'Arctic Ocean', 'Pacific Ocean', 0),
('Who was the first woman to fly solo across the Atlantic Ocean?', 'q109', 'Amelia Earhart', 'Bessie Coleman', 'Harriet Quimby', 'Jacqueline Cochran', 0),
('What is the main ingredient in traditional pesto sauce?', 'q110', 'Tomato', 'Basil', 'Olive Oil', 'Garlic', 1),
('Which philosopher is known for writing "The Republic"?', 'q111', 'Aristotle', 'Socrates', 'Plato', 'Confucius', 2),
('What is the capital of Saudi Arabia?', 'q112', 'Riyadh', 'Jeddah', 'Mecca', 'Medina', 0),
('Who discovered radium and polonium?', 'q113', 'Marie Curie', 'Albert Einstein', 'Niels Bohr', 'Max Planck', 0),
('What is the largest species of big cat?', 'q114', 'Lion', 'Jaguar', 'Leopard', 'Tiger', 3),
('Which gas do humans exhale when they breathe?', 'q115', 'Oxygen', 'Nitrogen', 'Carbon Dioxide', 'Helium', 2),
('Who was the first Roman emperor?', 'q116', 'Augustus', 'Julius Caesar', 'Nero', 'Caligula', 0),
('What is the main ingredient in borscht?', 'q117', 'Cabbage', 'Beetroot', 'Potato', 'Carrot', 1),
('Which country is known as the Land of a Thousand Lakes?', 'q118', 'Finland', 'Norway', 'Sweden', 'Denmark', 0),
('Who wrote "The Hitchhiker\'s Guide to the Galaxy"?', 'q119', 'Douglas Adams', 'Isaac Asimov', 'Philip K. Dick', 'Arthur C. Clarke', 0),
('What is the chemical symbol for silver?', 'q120', 'Ag', 'Au', 'Si', 'Pt', 0),
('Which river runs through Baghdad?', 'q121', 'Euphrates', 'Tigris', 'Nile', 'Amazon', 1),
('Who is known as the "Maid of Orleans"?', 'q122', 'Catherine the Great', 'Joan of Arc', 'Elizabeth I', 'Cleopatra', 1),
('What is the capital of Peru?', 'q123', 'Lima', 'Santiago', 'Buenos Aires', 'Quito', 0),
('Which instrument did Louis Armstrong play?', 'q124', 'Trumpet', 'Piano', 'Saxophone', 'Clarinet', 0),
('Who wrote "The Old Man and the Sea"?', 'q125', 'John Steinbeck', 'Ernest Hemingway', 'F. Scott Fitzgerald', 'Mark Twain', 1),
('What is the chemical formula for hydrogen peroxide?', 'q126', 'H2O', 'HO', 'H2O2', 'H2CO3', 2),
('Which country has the longest coastline?', 'q127', 'Canada', 'Australia', 'USA', 'Russia', 0),
('Who was the first American woman in space?', 'q128', 'Sally Ride', 'Valentina Tereshkova', 'Yuri Gagarin', 'Neil Armstrong', 0),
('What is the main ingredient in coq au vin?', 'q129', 'Chicken', 'Beef', 'Pork', 'Lamb', 0),
('Which planet has the highest surface temperature?', 'q130', 'Mercury', 'Venus', 'Mars', 'Jupiter', 1),
('Who wrote "The Grapes of Wrath"?', 'q131', 'John Steinbeck', 'Ernest Hemingway', 'F. Scott Fitzgerald', 'Mark Twain', 0),
('What is the smallest ocean in the world?', 'q132', 'Atlantic Ocean', 'Indian Ocean', 'Arctic Ocean', 'Southern Ocean', 3),
('Which country gifted the Statue of Liberty to the United States?', 'q133', 'France', 'United Kingdom', 'Spain', 'Italy', 0),
('What is the capital of South Korea?', 'q134', 'Seoul', 'Busan', 'Incheon', 'Daegu', 0),
('Who is the author of "The Chronicles of Narnia" series?', 'q135', 'J.R.R. Tolkien', 'C.S. Lewis', 'J.K. Rowling', 'Philip Pullman', 1),
('What is the chemical symbol for mercury?', 'q136', 'Hg', 'Me', 'He', 'Mr', 0),
('Which mountain is known as the "Roof of Africa"?', 'q137', 'Mount Kilimanjaro', 'Mount Everest', 'Mount McKinley', 'Mount Elbrus', 0),
('Who discovered the principles of heredity?', 'q138', 'Gregor Mendel', 'Charles Darwin', 'Alfred Russel Wallace', 'Jean-Baptiste Lamarck', 0),
('What is the capital of New Zealand?', 'q139', 'Christchurch', 'Wellington', 'Auckland', 'Queenstown', 1),
('Which is the largest freshwater lake by surface area in the world?', 'q140', 'Lake Superior', 'Lake Victoria', 'Lake Baikal', 'Great Bear Lake', 0),
('Who wrote "The Picture of Dorian Gray"?', 'q141', 'Oscar Wilde', 'George Orwell', 'F. Scott Fitzgerald', 'James Joyce', 0),
('What is the chemical symbol for calcium?', 'q142', 'Ca', 'Co', 'Cu', 'Ce', 0),
('Which is the largest living species of lizard?', 'q143', 'Komodo Dragon', 'Monitor Lizard', 'Iguana', 'Gecko', 0),
('Who was the first woman to win a Nobel Prize?', 'q144', 'Marie Curie', 'Rosalind Franklin', 'Dorothy Hodgkin', 'Ada Lovelace', 0),
('What is the capital of Chile?', 'q145', 'Santiago', 'Buenos Aires', 'Lima', 'Bogota', 0),
('Which instrument did Johann Sebastian Bach play?', 'q146', 'Violin', 'Piano', 'Organ', 'Cello', 2),
('Who wrote "One Hundred Years of Solitude"?', 'q147', 'Isabel Allende', 'Gabriel Garcia Marquez', 'Pablo Neruda', 'Mario Vargas Llosa', 1),
('What is the chemical formula for sulfuric acid?', 'q148', 'H2SO3', 'HCl', 'H2SO4', 'HNO3', 2),
('Which river is the longest in the United States?', 'q149', 'Mississippi River', 'Missouri River', 'Colorado River', 'Rio Grande', 0),
('Who was the first person to win two Nobel Prizes?', 'q150', 'Marie Curie', 'Albert Einstein', 'Niels Bohr', 'Max Planck', 0),
('What is the capital of Morocco?', 'q151', 'Marrakesh', 'Rabat', 'Casablanca', 'Fez', 1),
('Which is the largest species of bear?', 'q152', 'Polar Bear', 'Grizzly Bear', 'Black Bear', 'Kodiak Bear', 0),
('Who wrote "The Scarlet Letter"?', 'q153', 'Emily Dickinson', 'Nathaniel Hawthorne', 'Herman Melville', 'Edgar Allan Poe', 1),
('What is the chemical symbol for phosphorus?', 'q154', 'P', 'Ph', 'Po', 'Pl', 0),
('Which is the smallest bird in the world?', 'q155', 'Hummingbird', 'Robin', 'Sparrow', 'Finch', 0),
('Who was the first person to set foot on Antarctica?', 'q156', 'Roald Amundsen', 'Robert Falcon Scott', 'Ernest Shackleton', 'Richard E. Byrd', 1),
('What is the capital of Thailand?', 'q157', 'Bangkok', 'Phuket', 'Chiang Mai', 'Pattaya', 0),
('Which is the largest species of deer?', 'q158', 'Moose', 'Elk', 'Reindeer', 'Red Deer', 0),
('Who wrote "The Count of Monte Cristo"?', 'q159', 'Victor Hugo', 'Alexandre Dumas', 'Gustave Flaubert', 'Guy de Maupassant', 1),
('What is the chemical symbol for nitrogen?', 'q160', 'Ni', 'No', 'Ne', 'N', 3),
('Which country is known as the Land of the Rising Sun?', 'q161', 'China', 'South Korea', 'Japan', 'Thailand', 2),
('Who painted "The Birth of Venus"?', 'q162', 'Leonardo da Vinci', 'Michelangelo', 'Sandro Botticelli', 'Raphael', 2),
('What is the chemical symbol for carbon?', 'q163', 'Ca', 'Co', 'C', 'Cu', 2),
('Which is the largest desert in Asia?', 'q164', 'Thar Desert', 'Gobi Desert', 'Arabian Desert', 'Karakum Desert', 1),
('Who is known as the "Nightingale of India"?', 'q165', 'Lata Mangeshkar', 'Asha Bhosle', 'M. S. Subbulakshmi', 'Sarojini Naidu', 3),
('What is the capital of Norway?', 'q166', 'Oslo', 'Copenhagen', 'Stockholm', 'Helsinki', 0),
('Which is the longest river in Europe?', 'q167', 'Volga River', 'Danube River', 'Rhine River', 'Seine River', 0),
('Who wrote "The Divine Comedy"?', 'q168', 'Dante Alighieri', 'Geoffrey Chaucer', 'John Milton', 'William Shakespeare', 0),
('What is the chemical symbol for sodium?', 'q169', 'Na', 'So', 'Sd', 'Nm', 0),
('Which city is known as the City of Canals?', 'q170', 'Venice', 'Amsterdam', 'Bruges', 'Hamburg', 0),
('Who discovered the law of gravity?', 'q171', 'Galileo Galilei', 'Isaac Newton', 'Albert Einstein', 'Nikola Tesla', 1),
('What is the largest artery in the human body?', 'q172', 'Aorta', 'Carotid Artery', 'Femoral Artery', 'Coronary Artery', 0),
('Which is the largest species of penguin?', 'q173', 'Emperor Penguin', 'King Penguin', 'Adélie Penguin', 'Chinstrap Penguin', 0),
('Who wrote "The Wind in the Willows"?', 'q174', 'Beatrix Potter', 'Kenneth Grahame', 'Lewis Carroll', 'A. A. Milne', 1),
('What is the chemical formula for methane?', 'q175', 'CH3', 'CH4', 'CO2', 'C2H5OH', 1),
('Which river runs through Rome?', 'q176', 'Tiber River', 'Arno River', 'Po River', 'Rhone River', 0),
('Who is the author of "The Iliad" and "The Odyssey"?', 'q177', 'Homer', 'Virgil', 'Sophocles', 'Aristotle', 0),
('What is the chemical symbol for potassium?', 'q178', 'K', 'P', 'Po', 'Pt', 0),
('Which is the largest species of shark?', 'q179', 'Great White Shark', 'Whale Shark', 'Hammerhead Shark', 'Tiger Shark', 1),
('Who composed "The Four Seasons"?', 'q180', 'Johann Sebastian Bach', 'Ludwig van Beethoven', 'Wolfgang Amadeus Mozart', 'Antonio Vivaldi', 3),
('What is the chemical symbol for tin?', 'q181', 'Sn', 'Ti', 'Tn', 'T', 0),
('Which river is the longest in China?', 'q182', 'Yangtze River', 'Yellow River', 'Pearl River', 'Mekong River', 0),
('Who is known as the "Queen of Soul"?', 'q183', 'Diana Ross', 'Aretha Franklin', 'Whitney Houston', 'Tina Turner', 1),
('What is the capital of Sweden?', 'q184', 'Stockholm', 'Oslo', 'Helsinki', 'Copenhagen', 0),
('Which is the largest lake in Africa?', 'q185', 'Lake Victoria', 'Lake Tanganyika', 'Lake Malawi', 'Lake Victoria', 0),
('Who wrote "Frankenstein"?', 'q186', 'Mary Shelley', 'Emily Bronte', 'Charlotte Bronte', 'Jane Austen', 0),
('What is the chemical formula for table sugar (sucrose)?', 'q187', 'H2O', 'C6H12O6', 'NaCl', 'C12H22O11', 3),
('Which river forms part of the border between the United States and Mexico?', 'q188', 'Rio Grande', 'Colorado River', 'Mississippi River', 'Missouri River', 0),
('Who was the first woman to win the Nobel Prize in Literature?', 'q189', 'Doris Lessing', 'Pearl S. Buck', 'Toni Morrison', 'Selma Lagerlöf', 3),
('What is the chemical symbol for gold?', 'q190', 'Ag', 'Au', 'Al', 'Ga', 1),
('Which is the largest species of frog?', 'q191', 'Goliath Frog', 'Bullfrog', 'Tree Frog', 'Poison Dart Frog', 0),
('Who painted "Girl with a Pearl Earring"?', 'q192', 'Vincent van Gogh', 'Johannes Vermeer', 'Rembrandt', 'Claude Monet', 1),
('What is the chemical symbol for tungsten?', 'q193', 'W', 'Tg', 'Tu', 'Ts', 0),
('Which strait separates Asia and North America?', 'q194', 'Strait of Hormuz', 'Strait of Malacca', 'Bering Strait', 'Strait of Gibraltar', 2),
('Who is known as the "Iron Lady"?', 'q195', 'Margaret Thatcher', 'Indira Gandhi', 'Golda Meir', 'Angela Merkel', 0),
('What is the capital of Nigeria?', 'q196', 'Lagos', 'Kano', 'Abuja', 'Ibadan', 2),
('Which is the largest island in the Mediterranean Sea?', 'q197', 'Sardinia', 'Sicily', 'Cyprus', 'Crete', 1),
('Who wrote "Dracula"?', 'q198', 'Mary Shelley', 'Bram Stoker', 'Robert Louis Stevenson', 'H.G. Wells', 1),
('What is the chemical formula for vinegar?', 'q199', 'CH3COOH', 'H2SO4', 'HCl', 'NaOH', 0),
('Which river runs through London?', 'q200', 'Seine River', 'Thames River', 'Rhine River', 'Danube River', 1);
